combination_id,min_cluster_size,min_samples,cluster_selection_epsilon,n_clusters,n_noise,noise_fraction
1,5,5,0.0,5,17695,0.7078
2,5,5,2.0,2,6285,0.2514
3,5,5,4.0,2,6285,0.2514
4,5,10,0.0,2,21840,0.8736
5,5,10,2.0,2,21840,0.8736
6,5,10,4.0,2,21840,0.8736
7,5,20,0.0,2,24151,0.96604
8,5,20,2.0,2,24151,0.96604
9,5,20,4.0,2,24151,0.96604
10,5,50,0.0,2,24254,0.97016
11,5,50,2.0,2,24254,0.97016
12,5,50,4.0,2,24254,0.97016
13,25,5,0.0,3,23921,0.95684
14,25,5,2.0,2,23378,0.93512
15,25,5,4.0,2,23378,0.93512
16,25,10,0.0,2,24094,0.96376
17,25,10,2.0,2,24094,0.96376
18,25,10,4.0,2,24094,0.96376
19,25,20,0.0,2,24151,0.96604
20,25,20,2.0,2,24151,0.96604
21,25,20,4.0,2,24151,0.96604
22,25,50,0.0,2,24254,0.97016
23,25,50,2.0,2,24254,0.97016
24,25,50,4.0,2,24254,0.97016
25,50,5,0.0,2,23956,0.95824
26,50,5,2.0,2,23956,0.95824
27,50,5,4.0,2,23956,0.95824
28,50,10,0.0,0,25000,1.0
29,50,10,2.0,0,25000,1.0
30,50,10,4.0,0,25000,1.0
31,50,20,0.0,0,25000,1.0
32,50,20,2.0,0,25000,1.0
33,50,20,4.0,0,25000,1.0
34,50,50,0.0,0,25000,1.0
35,50,50,2.0,0,25000,1.0
36,50,50,4.0,0,25000,1.0
37,100,5,0.0,0,25000,1.0
38,100,5,2.0,0,25000,1.0
39,100,5,4.0,0,25000,1.0
40,100,10,0.0,0,25000,1.0
41,100,10,2.0,0,25000,1.0
42,100,10,4.0,0,25000,1.0
43,100,20,0.0,0,25000,1.0
44,100,20,2.0,0,25000,1.0
45,100,20,4.0,0,25000,1.0
46,100,50,0.0,0,25000,1.0
47,100,50,2.0,0,25000,1.0
48,100,50,4.0,0,25000,1.0
49,200,5,0.0,0,25000,1.0
50,200,5,2.0,0,25000,1.0
51,200,5,4.0,0,25000,1.0
52,200,10,0.0,0,25000,1.0
53,200,10,2.0,0,25000,1.0
54,200,10,4.0,0,25000,1.0
55,200,20,0.0,0,25000,1.0
56,200,20,2.0,0,25000,1.0
57,200,20,4.0,0,25000,1.0
58,200,50,0.0,0,25000,1.0
59,200,50,2.0,0,25000,1.0
60,200,50,4.0,0,25000,1.0
61,400,5,0.0,0,25000,1.0
62,400,5,2.0,0,25000,1.0
63,400,5,4.0,0,25000,1.0
64,400,10,0.0,0,25000,1.0
65,400,10,2.0,0,25000,1.0
66,400,10,4.0,0,25000,1.0
67,400,20,0.0,0,25000,1.0
68,400,20,2.0,0,25000,1.0
69,400,20,4.0,0,25000,1.0
70,400,50,0.0,0,25000,1.0
71,400,50,2.0,0,25000,1.0
72,400,50,4.0,0,25000,1.0
