Column,NaN_Count
ulsst_TOT,46312
ulsst_TOT_ERR,46312
gdes_TOT_ERR,4416
gdes_TOT,4416
rdes_TOT,2885
rdes_TOT_ERR,2885
VISeuc_TOT_ERR,2802
VISeuc_TOT,2802
ides_TOT,2429
ides_TOT_ERR,2429
ylsst_TOT_ERR,1864
ylsst_TOT,1864
Yeuc_TOT,1822
Yeuc_TOT_ERR,1822
glsst_TOT,1752
glsst_TOT_ERR,1752
Jeuc_TOT_ERR,1390
Jeuc_TOT,1390
zlsst_TOT,1376
zlsst_TOT_ERR,1376
SFRMED_DOWN_euclsst,1110
Heuc_TOT,1025
Heuc_TOT_ERR,1025
zdes_TOT_ERR,1011
zdes_TOT,1011
SFRMED_euclsst,963
SFRMED_UP_euclsst,955
MMED_UP_euclsst,941
MMED_euclsst,940
MMED_DOWN_euclsst,940
ZMED_DOWN_euclsst,697
ZMED_euclsst,687
ZMED_UP_euclsst,687
rlsst_TOT,517
rlsst_TOT_ERR,517
SFRMED_DOWN_lsst,483
ilsst_TOT,444
ilsst_TOT_ERR,444
SFRMED_lsst,343
SFRMED_UP_lsst,333
MMED_DOWN_lsst,323
MMED_UP_lsst,323
MMED_lsst,323
SFRMED_DOWN_euc,262
ZMED_DOWN_lsst,228
ZMED_lsst,220
ZMED_UP_lsst,220
SFRMED_euc,110
SFRMED_UP_euc,105
MMED_DOWN_euc,102
MMED_UP_euc,102
MMED_euc,102
ZMED_DOWNq_euc,85
ZMED_euc,68
ZMED_UP_euc,68
rdes_TOTnoerr,0
SUBSAMPLE,0
zlsst_TOTnoerr,0
SLICE1,0
NUM,0
ides_TOTnoerr,0
ylsst_TOTnoerr,0
glsst_TOTnoerr,0
zdes_TOTnoerr,0
Heuc_TOTnoerr,0
Jeuc_TOTnoerr,0
Yeuc_TOTnoerr,0
ulsst_TOTnoerr,0
VISeuc_TOTnoerr,0
ilsst_TOTnoerr,0
rlsst_TOTnoerr,0
ID,0
gdes_TOTnoerr,0
MBEST_lsst,0
ZBEST_DOWN_euclsst,0
ZBEST_UP_euclsst,0
ZBEST_euclsst,0
ZBEST_DOWN_lsst,0
ZBEST_UP_lsst,0
ZBEST_lsst,0
ZBEST_DOWN_euc,0
ZBEST_UP_euc,0
ZBEST_euc,0
METALLICITY_true,0
MASS-WEIGHTED_AGE_true,0
SFR_true,0
MASSBC03_true,0
MASS_true,0
Z_dist,0
Z_true,0
DEC_true,0
MBEST_euc,0
MBEST_euclsst,0
MKs_TOT_true,0
LNUV_BEST_euc,0
MR_TOT_true,0
MNUV_TOT_true,0
EBV_BEST_euclsst,0
EXTLAW_BEST_euclsst,0
LK_BEST_euclsst,0
LR_BEST_euclsst,0
LNUV_BEST_euclsst,0
RA_true,0
EBV_BEST_lsst,0
EXTLAW_BEST_lsst,0
LK_BEST_lsst,0
LR_BEST_lsst,0
LNUV_BEST_lsst,0
EBV_BEST_euc,0
EXTLAW_BEST_euc,0
LK_BEST_euc,0
LR_BEST_euc,0
ID_HZAGN,0
