n_components,pca_mse,explained_variance
2,0.4681616357395647,0.5351001781084588
3,0.39215079859384017,0.6104846445322507
4,0.32450014922937936,0.678037590273867
5,0.25984981582578986,0.7434541768377282
6,0.2015928557764438,0.8002645807315709
7,0.15474369315783568,0.8465458308266215
8,0.11080546422801704,0.8899849200831618
9,0.08387476619907376,0.9168420612934518
10,0.05934770091101885,0.9413511783221024
11,0.0371504398958534,0.9635321203818985
12,0.017580033939756625,0.9826265443345418
13,0.007053555873638827,0.9930353722030898
14,1.2197676063920452e-30,0.9999999999999999
15,1.2187644910924949e-30,0.9999999999999999
16,1.2154544184354433e-30,1.0
17,1.216876290945543e-30,1.0
18,1.2166798776492259e-30,1.0
19,1.2174338920550731e-30,1.0
20,1.2177281181566027e-30,1.0
21,1.2179511936181014e-30,1.0
22,1.2172455890532182e-30,1.0
23,1.20972410331116e-30,1.0
24,1.1923795591393285e-30,1.0
25,9.760901663456995e-31,1.0
